document, label, prediction
204,atheism,atheism
205,atheism,christianity
206,atheism,atheism
207,atheism,atheism
208,atheism,atheism
209,atheism,mideastpolitics
210,atheism,atheism
211,atheism,atheism
212,atheism,christianity
213,atheism,atheism
214,atheism,atheism
215,atheism,atheism
216,atheism,atheism
217,atheism,christianity
218,atheism,atheism
219,atheism,atheism
220,atheism,politics
221,atheism,atheism
222,atheism,atheism
223,atheism,atheism
224,atheism,christianity
225,atheism,atheism
226,atheism,atheism
227,atheism,christianity
228,atheism,atheism
229,atheism,atheism
230,atheism,atheism
231,atheism,atheism
232,atheism,atheism
233,atheism,atheism
234,atheism,atheism
235,atheism,christianity
236,atheism,christianity
237,atheism,atheism
238,atheism,atheism
239,atheism,atheism
240,atheism,atheism
241,atheism,atheism
242,atheism,atheism
243,atheism,christianity
244,atheism,atheism
245,atheism,atheism
246,atheism,atheism
247,atheism,christianity
248,atheism,atheism
249,atheism,atheism
250,atheism,atheism
251,atheism,atheism
252,atheism,religion
253,atheism,atheism
254,atheism,atheism
255,atheism,atheism
256,atheism,atheism
257,atheism,atheism
258,atheism,atheism
259,atheism,atheism
260,atheism,guns
261,atheism,atheism
262,atheism,atheism
263,atheism,atheism
264,atheism,atheism
265,atheism,atheism
266,atheism,christianity
267,atheism,atheism
268,atheism,atheism
269,atheism,atheism
270,atheism,christianity
271,atheism,religion
272,atheism,atheism
273,atheism,christianity
274,atheism,atheism
275,atheism,atheism
276,atheism,atheism
277,atheism,atheism
278,atheism,atheism
279,atheism,atheism
280,atheism,atheism
281,atheism,atheism
282,atheism,atheism
283,atheism,atheism
284,atheism,atheism
285,atheism,religion
286,atheism,atheism
287,atheism,christianity
288,atheism,politics
289,atheism,atheism
290,atheism,atheism
291,atheism,atheism
292,atheism,atheism
293,atheism,atheism
294,atheism,christianity
295,atheism,christianity
296,atheism,atheism
297,atheism,atheism
298,atheism,atheism
299,atheism,atheism
300,atheism,atheism
301,atheism,atheism
302,atheism,atheism
303,atheism,medicine
304,atheism,christianity
305,atheism,atheism
306,atheism,politics
307,atheism,atheism
308,atheism,atheism
309,atheism,atheism
310,atheism,atheism
311,atheism,christianity
312,atheism,religion
313,atheism,christianity
314,atheism,atheism
315,atheism,atheism
316,atheism,christianity
317,atheism,atheism
318,atheism,christianity
319,graphics,graphics
320,graphics,graphics
321,graphics,graphics
322,graphics,graphics
323,graphics,graphics
324,graphics,graphics
325,graphics,graphics
326,graphics,xwindows
327,graphics,xwindows
328,graphics,medicine
329,graphics,graphics
330,graphics,graphics
331,graphics,autos
332,graphics,graphics
333,graphics,graphics
334,graphics,graphics
335,graphics,graphics
336,graphics,graphics
337,graphics,graphics
338,graphics,graphics
339,graphics,mac
340,graphics,graphics
341,graphics,graphics
342,graphics,graphics
343,graphics,graphics
344,graphics,graphics
345,graphics,graphics
346,graphics,graphics
347,graphics,graphics
348,graphics,graphics
349,graphics,graphics
350,graphics,graphics
351,graphics,graphics
352,graphics,graphics
353,graphics,graphics
354,graphics,xwindows
355,graphics,graphics
356,graphics,graphics
357,graphics,graphics
358,graphics,graphics
359,graphics,graphics
360,graphics,graphics
361,graphics,xwindows
362,graphics,graphics
363,graphics,graphics
364,graphics,graphics
365,graphics,graphics
366,graphics,graphics
367,graphics,graphics
368,graphics,graphics
369,graphics,graphics
370,graphics,graphics
371,graphics,xwindows
372,graphics,graphics
373,graphics,graphics
374,graphics,graphics
375,graphics,graphics
376,graphics,graphics
377,graphics,graphics
378,graphics,graphics
379,graphics,graphics
380,graphics,mac
381,graphics,graphics
382,graphics,graphics
383,graphics,graphics
384,graphics,graphics
385,graphics,graphics
386,graphics,xwindows
387,graphics,christianity
388,graphics,graphics
389,graphics,graphics
390,graphics,xwindows
391,graphics,graphics
392,graphics,graphics
393,graphics,graphics
394,graphics,graphics
395,graphics,graphics
396,graphics,graphics
397,graphics,graphics
398,graphics,graphics
399,graphics,graphics
400,graphics,graphics
401,graphics,graphics
402,graphics,graphics
403,graphics,graphics
404,graphics,graphics
405,graphics,graphics
406,graphics,graphics
407,graphics,graphics
408,graphics,xwindows
409,graphics,graphics
410,graphics,graphics
411,graphics,graphics
412,graphics,graphics
413,graphics,graphics
414,graphics,graphics
415,graphics,graphics
416,graphics,xwindows
417,graphics,christianity
418,graphics,graphics
419,graphics,graphics
420,graphics,graphics
421,graphics,graphics
422,graphics,graphics
423,graphics,graphics
424,graphics,graphics
425,graphics,graphics
426,graphics,xwindows
427,graphics,graphics
428,graphics,graphics
429,graphics,graphics
430,graphics,graphics
431,graphics,graphics
432,graphics,graphics
433,graphics,graphics
434,graphics,graphics
435,graphics,graphics
436,graphics,graphics
437,graphics,xwindows
438,graphics,graphics
439,graphics,graphics
440,graphics,graphics
441,graphics,graphics
442,graphics,graphics
443,graphics,xwindows
444,graphics,graphics
445,graphics,graphics
446,graphics,graphics
447,graphics,cryptology
448,graphics,graphics
449,graphics,graphics
450,graphics,graphics
451,graphics,graphics
452,graphics,graphics
453,graphics,graphics
454,graphics,graphics
455,graphics,graphics
456,graphics,cryptology
457,graphics,politics
458,graphics,graphics
459,graphics,graphics
460,graphics,graphics
461,graphics,graphics
462,graphics,graphics
463,graphics,xwindows
464,graphics,graphics
465,graphics,graphics
466,graphics,graphics
467,graphics,graphics
468,graphics,pc
469,graphics,graphics
470,graphics,graphics
471,graphics,xwindows
472,graphics,graphics
473,graphics,mac
474,graphics,mac
475,graphics,graphics
476,graphics,graphics
477,graphics,pc
478,graphics,graphics
479,graphics,graphics
480,graphics,graphics
481,graphics,graphics
482,graphics,graphics
483,graphics,graphics
484,graphics,graphics
485,graphics,medicine
486,graphics,graphics
487,graphics,graphics
488,graphics,graphics
489,graphics,graphics
490,graphics,xwindows
491,graphics,graphics
492,graphics,graphics
493,graphics,graphics
494,graphics,graphics
495,graphics,graphics
496,graphics,graphics
497,graphics,graphics
498,graphics,graphics
499,graphics,graphics
500,graphics,graphics
501,graphics,graphics
502,graphics,graphics
503,graphics,graphics
504,graphics,graphics
505,graphics,graphics
506,graphics,graphics
507,graphics,graphics
508,graphics,pc
509,graphics,electronics
510,graphics,graphics
511,graphics,graphics
512,graphics,graphics
513,graphics,graphics
514,graphics,graphics
515,graphics,graphics
516,graphics,graphics
517,graphics,graphics
518,graphics,graphics
519,graphics,graphics
520,graphics,graphics
521,graphics,graphics
522,graphics,xwindows
523,graphics,graphics
524,graphics,graphics
525,graphics,graphics
526,graphics,graphics
527,graphics,graphics
528,graphics,graphics
529,graphics,graphics
530,graphics,graphics
531,graphics,graphics
532,graphics,graphics
533,graphics,xwindows
534,graphics,graphics
535,graphics,graphics
536,graphics,graphics
537,graphics,xwindows
538,graphics,graphics
539,graphics,graphics
540,graphics,pc
541,graphics,graphics
542,graphics,medicine
543,graphics,xwindows
544,graphics,xwindows
545,graphics,graphics
546,graphics,graphics
547,graphics,graphics
548,graphics,cryptology
549,graphics,electronics
550,graphics,cryptology
551,graphics,electronics
552,graphics,graphics
553,graphics,mswindows
554,graphics,mac
555,graphics,graphics
556,graphics,graphics
557,graphics,graphics
558,graphics,forsale
559,graphics,graphics
560,graphics,graphics
561,graphics,graphics
562,graphics,christianity
563,graphics,graphics
564,graphics,graphics
565,graphics,graphics
566,graphics,xwindows
567,graphics,graphics
568,graphics,graphics
569,graphics,politics
570,graphics,graphics
571,graphics,graphics
572,graphics,graphics
573,graphics,graphics
574,graphics,graphics
575,graphics,graphics
576,graphics,graphics
577,graphics,pc
578,graphics,politics
579,graphics,xwindows
580,graphics,graphics
581,graphics,cryptology
582,graphics,autos
583,graphics,electronics
584,graphics,graphics
585,graphics,cryptology
586,graphics,cryptology
587,graphics,graphics
588,graphics,graphics
589,graphics,christianity
590,graphics,graphics
591,graphics,pc
592,graphics,graphics
593,graphics,graphics
594,graphics,graphics
595,graphics,graphics
596,graphics,graphics
597,graphics,graphics
598,graphics,graphics
599,graphics,graphics
600,graphics,graphics
601,graphics,graphics
602,graphics,graphics
603,graphics,cryptology
604,graphics,graphics
605,graphics,graphics
606,graphics,cryptology
607,graphics,graphics
608,graphics,graphics
609,graphics,mac
610,graphics,cryptology
611,graphics,graphics
612,graphics,graphics
613,graphics,graphics
614,graphics,politics
615,graphics,graphics
616,graphics,graphics
617,graphics,graphics
618,graphics,graphics
619,graphics,cryptology
620,graphics,graphics
621,graphics,graphics
622,graphics,graphics
623,graphics,graphics
624,graphics,electronics
625,graphics,graphics
626,graphics,graphics
627,graphics,cryptology
628,graphics,graphics
629,graphics,graphics
630,graphics,cryptology
631,graphics,cryptology
632,graphics,graphics
633,graphics,pc
634,graphics,graphics
635,graphics,pc
636,graphics,cryptology
637,graphics,graphics
638,graphics,graphics
639,graphics,graphics
640,graphics,graphics
641,graphics,graphics
642,graphics,graphics
643,graphics,graphics
644,graphics,graphics
645,graphics,graphics
646,graphics,xwindows
647,graphics,cryptology
648,graphics,graphics
649,graphics,graphics
650,graphics,graphics
651,graphics,graphics
652,graphics,xwindows
653,graphics,pc
654,graphics,graphics
655,graphics,graphics
656,graphics,atheism
657,graphics,graphics
658,graphics,graphics
659,graphics,graphics
660,graphics,xwindows
661,graphics,graphics
662,graphics,graphics
663,graphics,graphics
664,graphics,graphics
665,graphics,graphics
666,graphics,graphics
667,graphics,graphics
668,graphics,graphics
669,graphics,graphics
670,graphics,graphics
671,graphics,graphics
672,graphics,graphics
673,graphics,cryptology
674,graphics,graphics
675,graphics,graphics
676,graphics,graphics
677,graphics,cryptology
678,graphics,graphics
679,graphics,graphics
680,graphics,graphics
681,graphics,graphics
682,graphics,graphics
683,graphics,graphics
684,graphics,graphics
685,graphics,xwindows
686,graphics,graphics
687,graphics,graphics
688,graphics,graphics
689,graphics,politics
690,graphics,graphics
691,graphics,graphics
692,graphics,cryptology
693,graphics,mswindows
694,graphics,pc
695,graphics,graphics
696,graphics,pc
697,graphics,cryptology
698,graphics,graphics
699,graphics,mswindows
700,graphics,graphics
701,graphics,graphics
702,graphics,graphics
703,graphics,graphics
704,graphics,graphics
705,graphics,graphics
706,graphics,graphics
707,graphics,graphics
708,mswindows,mswindows
709,mswindows,mswindows
710,mswindows,christianity
711,mswindows,mswindows
712,mswindows,mswindows
713,mswindows,mswindows
714,mswindows,mswindows
715,mswindows,mswindows
716,mswindows,mswindows
717,mswindows,mswindows
718,mswindows,graphics
719,mswindows,mswindows
720,mswindows,mswindows
721,mswindows,mswindows
722,mswindows,mswindows
723,mswindows,pc
724,mswindows,mswindows
725,mswindows,mswindows
726,mswindows,mswindows
727,mswindows,graphics
728,mswindows,mswindows
729,mswindows,mswindows
730,mswindows,graphics
731,mswindows,mswindows
732,mswindows,pc
733,mswindows,mswindows
734,mswindows,pc
735,mswindows,mswindows
736,mswindows,graphics
737,mswindows,graphics
738,mswindows,mswindows
739,mswindows,mswindows
740,mswindows,mswindows
741,mswindows,mswindows
742,mswindows,mswindows
743,mswindows,mswindows
744,mswindows,mswindows
745,mswindows,mswindows
746,mswindows,pc
747,mswindows,mswindows
748,mswindows,mswindows
749,mswindows,mswindows
750,mswindows,mswindows
751,mswindows,mswindows
752,mswindows,mswindows
753,mswindows,mswindows
754,mswindows,mswindows
755,mswindows,mswindows
756,mswindows,mswindows
757,mswindows,mswindows
758,mswindows,mswindows
759,mswindows,graphics
760,mswindows,mswindows
761,mswindows,pc
762,mswindows,mswindows
763,mswindows,xwindows
764,mswindows,mswindows
765,mswindows,mswindows
766,mswindows,mswindows
767,mswindows,graphics
768,mswindows,mswindows
769,mswindows,mswindows
770,mswindows,mswindows
771,mswindows,mswindows
772,mswindows,mswindows
773,mswindows,mswindows
774,mswindows,mswindows
775,mswindows,mswindows
776,mswindows,pc
777,mswindows,mswindows
778,mswindows,mswindows
779,mswindows,mswindows
780,mswindows,mswindows
781,mswindows,mswindows
782,mswindows,mswindows
783,mswindows,mswindows
784,mswindows,pc
785,mswindows,mswindows
786,mswindows,electronics
787,mswindows,pc
788,mswindows,mswindows
789,mswindows,mswindows
790,mswindows,cryptology
791,mswindows,mswindows
792,mswindows,mswindows
793,mswindows,mswindows
794,mswindows,mac
795,mswindows,pc
796,mswindows,mswindows
797,mswindows,pc
798,mswindows,pc
799,mswindows,mswindows
800,mswindows,pc
801,mswindows,pc
802,mswindows,pc
803,mswindows,graphics
804,mswindows,pc
805,mswindows,mswindows
806,mswindows,mswindows
807,mswindows,mswindows
808,mswindows,pc
809,mswindows,pc
810,mswindows,pc
811,mswindows,pc
812,mswindows,christianity
813,mswindows,christianity
814,mswindows,mswindows
815,mswindows,mswindows
816,mswindows,cryptology
817,mswindows,cryptology
818,mswindows,mswindows
819,mswindows,mswindows
820,mswindows,xwindows
821,mswindows,mswindows
822,mswindows,guns
823,mswindows,pc
824,mswindows,mswindows
825,mswindows,mswindows
826,mswindows,mswindows
827,mswindows,politics
828,mswindows,mswindows
829,mswindows,mswindows
830,mswindows,mswindows
831,mswindows,mswindows
832,mswindows,mswindows
833,mswindows,mswindows
834,mswindows,cryptology
835,mswindows,pc
836,mswindows,pc
837,mswindows,mswindows
838,mswindows,cryptology
839,mswindows,mswindows
840,mswindows,mswindows
841,mswindows,mswindows
842,mswindows,mswindows
843,mswindows,mswindows
844,mswindows,mswindows
845,mswindows,mswindows
846,mswindows,xwindows
847,mswindows,xwindows
848,mswindows,mswindows
849,mswindows,mswindows
850,mswindows,graphics
851,mswindows,mswindows
852,mswindows,pc
853,mswindows,mswindows
854,mswindows,mswindows
855,mswindows,graphics
856,mswindows,mswindows
857,mswindows,mswindows
858,mswindows,politics
859,mswindows,mswindows
860,mswindows,mswindows
861,mswindows,mswindows
862,mswindows,pc
863,mswindows,graphics
864,mswindows,mswindows
865,mswindows,mswindows
866,mswindows,mswindows
867,mswindows,graphics
868,mswindows,christianity
869,mswindows,xwindows
870,mswindows,mswindows
871,mswindows,mswindows
872,mswindows,mswindows
873,mswindows,mswindows
874,mswindows,mswindows
875,mswindows,pc
876,mswindows,mswindows
877,mswindows,mswindows
878,mswindows,mswindows
879,mswindows,pc
880,mswindows,mswindows
881,mswindows,graphics
882,mswindows,mswindows
883,mswindows,cryptology
884,mswindows,mswindows
885,mswindows,hockey
886,mswindows,mswindows
887,mswindows,mswindows
888,mswindows,mswindows
889,mswindows,mswindows
890,mswindows,mswindows
891,mswindows,mswindows
892,mswindows,xwindows
893,mswindows,mswindows
894,mswindows,pc
895,mswindows,mswindows
896,mswindows,mac
897,mswindows,mswindows
898,mswindows,mswindows
899,mswindows,xwindows
900,mswindows,graphics
901,mswindows,mswindows
902,mswindows,mswindows
903,mswindows,mswindows
904,mswindows,mswindows
905,mswindows,mswindows
906,mswindows,xwindows
907,mswindows,graphics
908,mswindows,mswindows
909,mswindows,mswindows
910,mswindows,mswindows
911,mswindows,cryptology
912,mswindows,mswindows
913,mswindows,pc
914,mswindows,mswindows
915,mswindows,mswindows
916,mswindows,christianity
917,mswindows,politics
918,mswindows,mswindows
919,mswindows,christianity
920,mswindows,pc
921,mswindows,mswindows
922,mswindows,graphics
923,mswindows,mswindows
924,mswindows,pc
925,mswindows,mswindows
926,mswindows,mswindows
927,mswindows,mswindows
928,mswindows,mswindows
929,mswindows,christianity
930,mswindows,cryptology
931,mswindows,mswindows
932,mswindows,mswindows
933,mswindows,xwindows
934,mswindows,xwindows
935,mswindows,xwindows
936,mswindows,pc
937,mswindows,xwindows
938,mswindows,mswindows
939,mswindows,mswindows
940,mswindows,mswindows
941,mswindows,mswindows
942,mswindows,christianity
943,mswindows,xwindows
944,mswindows,politics
945,mswindows,politics
946,mswindows,mswindows
947,mswindows,mswindows
948,mswindows,mswindows
949,mswindows,mswindows
950,mswindows,politics
951,mswindows,mswindows
952,mswindows,mswindows
953,mswindows,mswindows
954,mswindows,mswindows
955,mswindows,politics
956,mswindows,politics
957,mswindows,mswindows
958,mswindows,pc
959,mswindows,mswindows
960,mswindows,politics
961,mswindows,mswindows
962,mswindows,mswindows
963,mswindows,mswindows
964,mswindows,graphics
965,mswindows,graphics
966,mswindows,mswindows
967,mswindows,politics
968,mswindows,graphics
969,mswindows,graphics
970,mswindows,mswindows
971,mswindows,mswindows
972,mswindows,pc
973,mswindows,mswindows
974,mswindows,mswindows
975,mswindows,mswindows
976,mswindows,mswindows
977,mswindows,politics
978,mswindows,pc
979,mswindows,graphics
980,mswindows,mswindows
981,mswindows,mswindows
982,mswindows,mswindows
983,mswindows,mswindows
984,mswindows,mswindows
985,mswindows,xwindows
986,mswindows,mswindows
987,mswindows,cryptology
988,mswindows,graphics
989,mswindows,mswindows
990,mswindows,mswindows
991,mswindows,politics
992,mswindows,mswindows
993,mswindows,mswindows
994,mswindows,mswindows
995,mswindows,mswindows
996,mswindows,mswindows
997,mswindows,politics
998,mswindows,mswindows
999,mswindows,mswindows
1000,mswindows,mswindows
1001,mswindows,pc
1002,mswindows,xwindows
1003,mswindows,mswindows
1004,mswindows,graphics
1005,mswindows,mswindows
1006,mswindows,pc
1007,mswindows,mswindows
1008,mswindows,cryptology
1009,mswindows,mswindows
1010,mswindows,mswindows
1011,mswindows,politics
1012,mswindows,pc
1013,mswindows,mswindows
1014,mswindows,baseball
1015,mswindows,graphics
1016,mswindows,mswindows
1017,mswindows,pc
1018,mswindows,mswindows
1019,mswindows,xwindows
1020,mswindows,graphics
1021,mswindows,graphics
1022,mswindows,pc
1023,mswindows,graphics
1024,mswindows,pc
1025,mswindows,mswindows
1026,mswindows,xwindows
1027,mswindows,mswindows
1028,mswindows,mswindows
1029,mswindows,mswindows
1030,mswindows,mswindows
1031,mswindows,pc
1032,mswindows,graphics
1033,mswindows,mswindows
1034,mswindows,xwindows
1035,mswindows,pc
1036,mswindows,politics
1037,mswindows,mswindows
1038,mswindows,mswindows
1039,mswindows,mswindows
1040,mswindows,atheism
1041,mswindows,mswindows
1042,mswindows,pc
1043,mswindows,mswindows
1044,mswindows,politics
1045,mswindows,mswindows
1046,mswindows,pc
1047,mswindows,pc
1048,mswindows,mswindows
1049,mswindows,pc
1050,mswindows,mswindows
1051,mswindows,mac
1052,mswindows,mswindows
1053,mswindows,pc
1054,mswindows,mswindows
1055,mswindows,mswindows
1056,mswindows,mswindows
1057,mswindows,cryptology
1058,mswindows,mswindows
1059,mswindows,mswindows
1060,mswindows,mswindows
1061,mswindows,mswindows
1062,mswindows,mswindows
1063,mswindows,graphics
1064,mswindows,religion
1065,mswindows,mswindows
1066,mswindows,medicine
1067,mswindows,mswindows
1068,mswindows,mswindows
1069,mswindows,pc
1070,mswindows,mswindows
1071,mswindows,graphics
1072,mswindows,pc
1073,mswindows,xwindows
1074,mswindows,mswindows
1075,mswindows,xwindows
1076,mswindows,graphics
1077,mswindows,graphics
1078,mswindows,pc
1079,mswindows,xwindows
1080,mswindows,mac
1081,mswindows,mswindows
1082,mswindows,atheism
1083,mswindows,graphics
1084,mswindows,mswindows
1085,mswindows,mswindows
1086,mswindows,mswindows
1087,mswindows,cryptology
1088,mswindows,mswindows
1089,mswindows,mswindows
1090,mswindows,mswindows
1091,mswindows,mswindows
1092,mswindows,cryptology
1093,mswindows,mswindows
1094,mswindows,mswindows
1095,mswindows,mswindows
1096,mswindows,mswindows
1097,mswindows,pc
1098,mswindows,mswindows
1099,mswindows,xwindows
1100,mswindows,mswindows
1101,mswindows,pc
1102,pc,pc
1103,pc,pc
1104,pc,pc
1105,pc,pc
1106,pc,cryptology
1107,pc,pc
1108,pc,pc
1109,pc,forsale
1110,pc,pc
1111,pc,xwindows
1112,pc,pc
1113,pc,electronics
1114,pc,pc
1115,pc,pc
1116,pc,pc
1117,pc,electronics
1118,pc,pc
1119,pc,pc
1120,pc,pc
1121,pc,pc
1122,pc,pc
1123,pc,pc
1124,pc,pc
1125,pc,pc
1126,pc,pc
1127,pc,electronics
1128,pc,pc
1129,pc,pc
1130,pc,pc
1131,pc,pc
1132,pc,pc
1133,pc,pc
1134,pc,pc
1135,pc,mswindows
1136,pc,pc
1137,pc,pc
1138,pc,pc
1139,pc,graphics
1140,pc,pc
1141,pc,pc
1142,pc,pc
1143,pc,pc
1144,pc,pc
1145,pc,pc
1146,pc,pc
1147,pc,pc
1148,pc,pc
1149,pc,pc
1150,pc,graphics
1151,pc,pc
1152,pc,mac
1153,pc,pc
1154,pc,pc
1155,pc,pc
1156,pc,pc
1157,pc,pc
1158,pc,pc
1159,pc,pc
1160,pc,mswindows
1161,pc,mac
1162,pc,pc
1163,pc,mac
1164,pc,pc
1165,pc,pc
1166,pc,pc
1167,pc,pc
1168,pc,electronics
1169,pc,pc
1170,pc,mac
1171,pc,pc
1172,pc,electronics
1173,pc,pc
1174,pc,pc
1175,pc,pc
1176,pc,pc
1177,pc,pc
1178,pc,pc
1179,pc,pc
1180,pc,pc
1181,pc,electronics
1182,pc,pc
1183,pc,pc
1184,pc,pc
1185,pc,pc
1186,pc,pc
1187,pc,pc
1188,pc,pc
1189,pc,pc
1190,pc,pc
1191,pc,electronics
1192,pc,pc
1193,pc,pc
1194,pc,pc
1195,pc,pc
1196,pc,pc
1197,pc,pc
1198,pc,pc
1199,pc,pc
1200,pc,pc
1201,pc,pc
1202,pc,cryptology
1203,pc,pc
1204,pc,pc
1205,pc,pc
1206,pc,pc
1207,pc,pc
1208,pc,pc
1209,pc,pc
1210,pc,pc
1211,pc,pc
1212,pc,pc
1213,pc,pc
1214,pc,pc
1215,pc,pc
1216,pc,pc
1217,pc,pc
1218,pc,pc
1219,pc,pc
1220,pc,pc
1221,pc,pc
1222,pc,pc
1223,pc,pc
1224,pc,pc
1225,pc,xwindows
1226,pc,pc
1227,pc,pc
1228,pc,pc
1229,pc,pc
1230,pc,autos
1231,pc,pc
1232,pc,graphics
1233,pc,pc
1234,pc,graphics
1235,pc,pc
1236,pc,pc
1237,pc,pc
1238,pc,pc
1239,pc,pc
1240,pc,pc
1241,pc,pc
1242,pc,pc
1243,pc,pc
1244,pc,pc
1245,pc,pc
1246,pc,pc
1247,pc,pc
1248,pc,autos
1249,pc,autos
1250,pc,pc
1251,pc,pc
1252,pc,pc
1253,pc,pc
1254,pc,pc
1255,pc,mswindows
1256,pc,mswindows
1257,pc,autos
1258,pc,mac
1259,pc,pc
1260,pc,pc
1261,pc,mswindows
1262,pc,mac
1263,pc,pc
1264,pc,pc
1265,pc,pc
1266,pc,pc
1267,pc,pc
1268,pc,mswindows
1269,pc,pc
1270,pc,pc
1271,pc,pc
1272,pc,mswindows
1273,pc,pc
1274,pc,pc
1275,pc,autos
1276,pc,pc
1277,pc,pc
1278,pc,cryptology
1279,pc,pc
1280,pc,pc
1281,pc,pc
1282,pc,pc
1283,pc,pc
1284,pc,pc
1285,pc,pc
1286,pc,pc
1287,pc,pc
1288,pc,pc
1289,pc,pc
1290,pc,pc
1291,pc,pc
1292,pc,pc
1293,pc,pc
1294,pc,mswindows
1295,pc,pc
1296,pc,pc
1297,pc,pc
1298,pc,cryptology
1299,pc,pc
1300,pc,pc
1301,pc,pc
1302,pc,pc
1303,pc,pc
1304,pc,pc
1305,pc,pc
1306,pc,mac
1307,pc,pc
1308,pc,pc
1309,pc,mac
1310,pc,pc
1311,pc,pc
1312,pc,pc
1313,pc,pc
1314,pc,mac
1315,pc,pc
1316,pc,pc
1317,pc,pc
1318,pc,pc
1319,pc,pc
1320,pc,pc
1321,pc,pc
1322,pc,pc
1323,pc,pc
1324,pc,pc
1325,pc,pc
1326,pc,pc
1327,pc,pc
1328,pc,graphics
1329,pc,pc
1330,pc,xwindows
1331,pc,electronics
1332,pc,electronics
1333,pc,electronics
1334,pc,pc
1335,pc,pc
1336,pc,electronics
1337,pc,pc
1338,pc,pc
1339,pc,pc
1340,pc,pc
1341,pc,electronics
1342,pc,pc
